Item,Item-en,冒烟洞二级,马脖子,杨道河,朝天吼,石家坝,高坑,塘坂,新坪垭,官溪,三叠岭,峒牌,爱布二级,爱布三级,盘溪二级,盘溪三级,盘溪四级
原平均收入,Average income before,3.91,2.76,4.39,5.17,5.05,6.65,5.89,5.13,6.16,3.23,2.88,3.75,3.23,6.23,6.53,6.46
改造后平均收入,Average income after,5.34,3.36,4.52,4.63,5.05,6.84,8.08,7.19,7.21,5.04,5.04,5.04,5.04,5.39,5.75,5.41
原女职工平均收入,Average income of female employees before,3.41,2.73,3.98,4.5,3.8,7.27,4.28,3.81,5.67,3.33,2.54,3.65,3.13,5.98,6.28,5.93
改造后女职工平均收入,Average income of female employees after,4.67,3.39,4.15,4.5,0,7.23,6.31,6.04,6.55,5.04,5.04,5.04,5.04,5.17,5.33,5.17
原女领导平均收入,Average income of female leaders before,4.64,0,4.5,4.5,3.8,8.02,7.8,3.71,6.17,0,3.01,3.85,3.53,7.3,7.3,7.3
改造后女领导平均收入,Average income of female leaders after,6.48,3.66,4.5,4.5,0,8.32,10.95,6.45,6.56,5.04,5.04,5.04,5.04,5.33,5.33,5.09
,,,,,,,,,,,,,,,,,
,unit,"x10,000 CNY",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,author,UNIDO-GEF China SHP Capacity Upgrade Project,,,,,,,,,,,,,,,
,year,2023,,,,,,,,,,,,,,,
,UNIDO Open Data,https://open.unido.org/projects/CN/projects/140196,,,,,,,,,,,,,,,
,Website,http://www.icshp.org/small-and-green,,,,,,,,,,,,,,,
